ASV	Kingdom	Phylum	Class	Order	Family	Genus	gillis_1_1.filt.fastq.gz	gillis_10_1.filt.fastq.gz	gillis_11_1.filt.fastq.gz	gillis_12_1.filt.fastq.gz	gillis_13_1.filt.fastq.gz	gillis_14_1.filt.fastq.gz	gillis_15_1.filt.fastq.gz	gillis_16_1.filt.fastq.gz	gillis_17_1.filt.fastq.gz	gillis_18_1.filt.fastq.gz	gillis_19_1.filt.fastq.gz	gillis_2_1.filt.fastq.gz	gillis_20_1.filt.fastq.gz	gillis_3_1.filt.fastq.gz	gillis_4_1.filt.fastq.gz	gillis_5_1.filt.fastq.gz	gillis_6_1.filt.fastq.gz	gillis_7_1.filt.fastq.gz	gillis_8_1.filt.fastq.gz	gillis_9_1.filt.fastq.gz
ASV862	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	0	0	13	8	0	0	0	23	0	0	0	0	9	0	0	18	0	0	0	0
ASV863	Bacteria	NA	NA	NA	NA	NA	0	0	8	0	0	0	17	0	0	0	0	0	0	0	20	0	26	0	0	0
ASV864	Bacteria	Bacillota	Bacilli	Caryophanales	Alicyclobacillaceae	Tumebacillus	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
ASV865	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	0	0	0	0	26	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0
ASV866	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	22	33	0	0
ASV867	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga	13	0	0	0	0	16	0	0	0	0	0	0	0	16	0	0	0	0	26	0
ASV868	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	31	0	0
ASV869	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV87	Bacteria	Bacillota	Bacilli	Caryophanales	Alicyclobacillaceae	Tumebacillus	159	28	22	0	64	38	41	0	0	0	60	0	0	12	0	49	42	0	31	71
ASV870	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	55	0
ASV871	Bacteria	Acidobacteriota	Acidobacteria_Gp3	Gp3	NA	NA	0	20	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV872	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	15	16	0	0	0	0	0	0	0	0	0	0	19	0	20	0	0	0	0	0
ASV873	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	0	0	20	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV874	Bacteria	Chloroflexota	Tepidiformia	Tepidiformales	Tepidiformaceae	Tepidiforma	0	0	14	0	0	0	28	0	0	0	0	0	12	0	16	0	0	0	0	0
ASV875	Bacteria	NA	NA	NA	NA	NA	0	0	9	0	0	0	15	0	0	0	4	0	0	0	17	25	0	0	0	0
ASV876	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	NA	NA	0	0	9	0	0	0	20	0	0	0	0	0	13	0	7	9	0	0	0	12
ASV877	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
ASV878	Bacteria	NA	NA	NA	NA	NA	0	0	0	26	0	0	9	0	26	0	0	0	0	9	0	0	0	0	0	0
ASV879	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Shouchella	0	0	0	0	0	19	0	0	0	0	7	0	0	0	0	32	0	0	12	0
ASV88	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	NA	46	56	0	69	62	38	0	65	0	0	0	61	0	0	0	0	61	46	66	38
ASV880	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Candidatus Korobacteraceae	Candidatus Korobacter	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	21	0	0	0	15
ASV881	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
